Object: noodle, Seed: 49579, Result: 1, vel: 5.83392339380084, roll:-0.274722739018892, pos:[-0.2577590276261901, 0.3315208620063421, 0], ori:[90, 4.8713004239000846, -8.550126854900228]
Object: noodle, Seed: 31231, Result: 1, vel: 5.190321959027686, roll:0.17149569091544586, pos:[-0.09563811086050727, 0.36771494130754334, 0], ori:[90, 1.4469770390757617, -11.216888069820032]
Object: noodle, Seed: 46760, Result: 1, vel: 5.939761600362002, roll:0.16934045324084412, pos:[-0.2666981785226588, 0.3371275721470248, 0], ori:[90, -2.92028706451486, -12.886919638265265]
Object: noodle, Seed: 548, Result: 1, vel: 5.448735220192261, roll:-0.12987737274723674, pos:[-0.049734015439981016, -0.010544305911500906, 0], ori:[90, -1.6246617711414868, 2.057589824574986]
Object: noodle, Seed: 77897, Result: 0, vel: 5.915846675989585, roll:0.2776169333543946, pos:[-0.016540929479330058, 0.08629894902562651, 0], ori:[90, 4.671631120191686, -5.447284536063883]
Object: noodle, Seed: 19805, Result: 0, vel: 5.47203474027871, roll:-0.124594041167615, pos:[-0.16295291448674284, -0.10300954372621973, 0], ori:[90, -1.9887716668520214, 2.134883368850474]
Object: noodle, Seed: 96385, Result: 1, vel: 5.9589194338995615, roll:-0.12980022790660334, pos:[0.0187003858909765, 0.24349538226344447, 0], ori:[90, -3.426270062294635, -1.4088857358797906]
Object: noodle, Seed: 66621, Result: 0, vel: 5.887396446785011, roll:0.11423547868275974, pos:[-0.23896587981077153, 0.638756168462616, 0], ori:[90, 3.4994085231305316, 6.183068509832395]
Object: noodle, Seed: 43508, Result: 0, vel: 5.271132649945269, roll:0.12522735194467932, pos:[0.07546724629660168, -0.6215433331745709, 0], ori:[90, -2.059092937566138, -4.152890483401709]
Object: noodle, Seed: 35268, Result: 0, vel: 5.022674768685782, roll:0.03588314014083749, pos:[-0.2298856645932226, -1.113703464798438, 0], ori:[90, 2.115163131299492, 0.1894334025959541]
Object: noodle, Seed: 2270, Result: 1, vel: 5.516357365744765, roll:0.1512218475594882, pos:[-0.12010149838784223, 0.8951131001731027, 0], ori:[90, -1.3759619110574475, 5.548801679136176]
Object: noodle, Seed: 37852, Result: 1, vel: 5.741276176489896, roll:0.09799345242461471, pos:[0.09481532260394954, -0.9869745010048268, 0], ori:[90, -4.742920680847642, -8.935141984426604]
Object: noodle, Seed: 50073, Result: 1, vel: 5.423866438071389, roll:0.007394911484226552, pos:[0.04489786455030215, 0.09939456817416636, 0], ori:[90, 0.2920475914663623, -5.856440182877437]
Object: noodle, Seed: 59940, Result: 0, vel: 5.94658239580676, roll:0.293365476365865, pos:[0.013578491840009643, 0.08121344133161035, 0], ori:[90, -0.8977500102595819, -5.775325318295863]
Object: noodle, Seed: 99243, Result: 1, vel: 5.8763428632402945, roll:0.03255312431777113, pos:[-0.24859837649244584, 0.5320014462295348, 0], ori:[90, -1.3324104670945012, -12.621119001044246]
Object: noodle, Seed: 89618, Result: 1, vel: 5.695098479273391, roll:-0.25149188479432744, pos:[0.06546780920969253, 0.6585296088546153, 0], ori:[90, -3.0059699565133666, 2.5310466810309187]
Object: noodle, Seed: 55741, Result: 1, vel: 5.347003601548085, roll:-0.16257204150940488, pos:[-0.040260575939817245, -0.8052246300988701, 0], ori:[90, -3.05719156627167, -11.751045608768854]
Object: noodle, Seed: 94407, Result: 0, vel: 5.364683634742004, roll:0.17599550964109673, pos:[0.046456644797964575, -0.303937749497155, 0], ori:[90, -2.995322570048893, -7.86515816636552]
Object: noodle, Seed: 81182, Result: 1, vel: 5.089509513385974, roll:0.24457125545085662, pos:[-0.05247503044105681, -0.22022371477065017, 0], ori:[90, 1.3807910363193319, 8.22864759209353]
Object: noodle, Seed: 2986, Result: 1, vel: 5.5185305058370675, roll:0.23070879733661426, pos:[0.0778485133616299, 0.2907140882224888, 0], ori:[90, -3.8887980296095668, -5.895193786545438]
Object: noodle, Seed: 37083, Result: 1, vel: 5.257187266786177, roll:0.21248571717679082, pos:[-0.19015542964317828, 0.10316069315378695, 0], ori:[90, -1.1000056952640733, -12.182310967315221]
Object: noodle, Seed: 41646, Result: 1, vel: 5.3767827286228895, roll:-0.14166369379995428, pos:[-0.2821456686272432, 0.6501533406807118, 0], ori:[90, -2.8508669358144214, -8.340525117566603]
Object: noodle, Seed: 3872, Result: 1, vel: 5.021170739817759, roll:-0.2478686511391998, pos:[0.0384433852591885, -0.8075973392398645, 0], ori:[90, 0.8816801264733005, -11.774595518999094]
