Object: ring, Seed: 45730, Result: 1, vel: 5.853831879448346, roll:-0.02085413179808615, pos:[-0.15009708688753348, -0.5523163384628358, 0], ori:[1.4898231963945037, 90, 4.528567740957744]
Object: ring, Seed: 37475, Result: 0, vel: 5.528922301745393, roll:-0.24202858931327142, pos:[-0.010920118507757037, 0.5299746869410711, 0], ori:[-1.4328967773948618, 90, -3.364232979648879]
Object: ring, Seed: 66233, Result: 0, vel: 5.271412173739227, roll:0.008041191854724516, pos:[-0.25250684598620166, -0.5302272275843068, 0], ori:[-4.783476577386302, 90, -10.237754515505635]
Object: ring, Seed: 95736, Result: 0, vel: 5.086034665238506, roll:-0.2186868838102099, pos:[-0.13502190528155913, 0.49423407731825053, 0], ori:[3.0344587416850892, 90, -0.12961092429980425]
Object: ring, Seed: 81738, Result: 0, vel: 5.18047868821866, roll:-0.2293127638979094, pos:[-0.27999023580960936, -0.708749759896129, 0], ori:[-0.7775003587295712, 90, -10.516238175082945]
Object: ring, Seed: 2331, Result: 1, vel: 5.842863064303165, roll:0.12445052312826677, pos:[-0.1715160747667173, -0.47541991231239555, 0], ori:[-4.415792660680405, 90, -8.946654519022644]
Object: ring, Seed: 76411, Result: 0, vel: 5.459732055080164, roll:-0.1570246818443501, pos:[-0.05292627653342971, 0.5627639789173298, 0], ori:[2.7106098953379565, 90, -5.0262759799669645]
Object: ring, Seed: 38989, Result: 1, vel: 5.110966207282339, roll:0.20461025819459883, pos:[-0.29595008468634276, -0.13652296798381514, 0], ori:[-1.3823708686847, 90, -9.533582298734459]
Object: ring, Seed: 38376, Result: 0, vel: 5.412614622519267, roll:0.23386773047234805, pos:[-0.209613843308197, -0.6049637611720052, 0], ori:[-2.7308880042172126, 90, 5.61689533607052]
Object: ring, Seed: 25079, Result: 1, vel: 5.284070460006724, roll:0.020048003961729843, pos:[-0.12054778970984767, -0.1329784092644588, 0], ori:[-4.990814963265857, 90, 1.8574303154377425]
Object: ring, Seed: 98461, Result: 1, vel: 5.816605115577595, roll:0.04811476098009654, pos:[-0.20720491468340632, -0.8547807476716647, 0], ori:[3.5311630260095406, 90, 8.423411458961585]
